Species common name,nest_height,scientific_name,common_name
Pemba Green-pigeon,NA,Treron pembaensis,Pemba Green-pigeon
Pemba Scops-owl,NA,Otus pembaensis,Pemba Scops-owl
Pemba Sunbird,2,Cinnyris pembae,Pemba Sunbird
Pemba White-eye,2.5,Zosterops vaughani,Pemba White-eye
Pennant-winged Nightjar,0,Caprimulgus vexillarius,Pennant-winged Nightjar
Peregrine Falcon,NA,Falco peregrinus,Peregrine Falcon
Perija Antpitta,NA,Grallaria saltuensis,Perija Antpitta
Perija Brush-finch,NA,Arremon perijanus,Perija Brush-finch
Perija Metaltail,NA,Metallura iracunda,Perija Metaltail
Perija Parakeet,NA,Pyrrhura caeruleiceps,Perija Parakeet
Perija Starfrontlet,NA,Coeligena consita,Perija Starfrontlet
Perija Tapaculo,0,Scytalopus perijanus,Perija Tapaculo
Perija Thistletail,NA,Asthenes perijana,Perija Thistletail
Pernambuco Foliage-gleaner,NA,Automolus lammi,Pernambuco Foliage-gleaner
Pernambuco Pygmy-owl,NA,Glaucidium mooreorum,Pernambuco Pygmy-owl
Persian Shearwater,NA,Puffinus persicus,Persian Shearwater
Peruvian Antpitta,2,Grallaricula peruviana,Peruvian Antpitta
Peruvian Antwarbler,1.5,Hypocnemis peruviana,Peruvian Antwarbler
Peruvian Booby,0,Sula variegata,Peruvian Booby
Peruvian Citrine Warbler,NA,Myiothlypis striaticeps,Peruvian Citrine Warbler
Peruvian Diving-petrel,NA,Pelecanoides garnotii,Peruvian Diving-petrel
Peruvian Martin,NA,Progne murphyi,Peruvian Martin
Peruvian Meadowlark,0,Leistes bellicosus,Peruvian Meadowlark
Peruvian Pelican,0,Pelecanus thagus,Peruvian Pelican
Peruvian Piedtail,NA,Phlogophilus harterti,Peruvian Piedtail
Peruvian Pigeon,NA,Patagioenas oenops,Peruvian Pigeon
Peruvian Pipit,NA,Anthus peruvianus,Peruvian Pipit
Peruvian Plantcutter,2.75,Phytotoma raimondii,Peruvian Plantcutter
Peruvian Pygmy-owl,NA,Glaucidium peruanum,Peruvian Pygmy-owl
Peruvian Recurvebill,NA,Syndactyla ucayalae,Peruvian Recurvebill
Peruvian Screech-owl,4.050000000000001,Megascops roboratus,Peruvian Screech-owl
Peruvian Sheartail,6,Thaumastura cora,Peruvian Sheartail
Peruvian Sierra-finch,NA,Phrygilus punensis,Peruvian Sierra-finch
Peruvian Solitaire,NA,Cichlopsis peruviana,Peruvian Solitaire
Peruvian Tern,0,Sternula lorata,Peruvian Tern
Peruvian Thick-knee,0,Burhinus superciliaris,Peruvian Thick-knee
Peruvian Tyrannulet,NA,Zimmerius viridiflavus,Peruvian Tyrannulet
Peruvian Wren,NA,Cinnycerthia peruana,Peruvian Wren
Pesquet's Parrot,18,Psittrichas fulgidus,Pesquet's Parrot
Petit's Cuckoo-shrike,19.5,Campephaga petiti,Petit's Cuckoo-shrike
Phainopepla,4.5,Phainopepla nitens,Phainopepla
Pharaoh Eagle-owl,NA,Bubo ascalaphus,Pharaoh Eagle-owl
Pheasant Coucal,NA,Centropus phasianinus,Pheasant Coucal
Pheasant Cuckoo,NA,Dromococcyx phasianellus,Pheasant Cuckoo
Pheasant-tailed Jacana,0,Hydrophasianus chirurgus,Pheasant-tailed Jacana
Philadelphia Vireo,15,Vireo philadelphicus,Philadelphia Vireo
Philby's Partridge,NA,Alectoris philbyi,Philby's Partridge
Philippa's Crombec,NA,Sylvietta philippae,Philippa's Crombec
Philippine Bulbul,NA,Hypsipetes philippinus,Philippine Bulbul
Philippine Bush-hen,NA,Amaurornis olivacea,Philippine Bush-hen
Philippine Bush-warbler,NA,Horornis seebohmi,Philippine Bush-warbler
Philippine Cockatoo,NA,Cacatua haematuropygia,Philippine Cockatoo
Philippine Collared-dove,4.5,Streptopelia dusumieri,Philippine Collared-dove
Philippine Coucal,1.75,Centropus viridis,Philippine Coucal
Philippine Cuckoo-dove,NA,Macropygia tenuirostris,Philippine Cuckoo-dove
Philippine Drongo-cuckoo,NA,Surniculus velutinus,Philippine Drongo-cuckoo
Philippine Duck,0,Anas luzonica,Philippine Duck
Philippine Eagle,NA,Pithecophaga jefferyi,Philippine Eagle
Philippine Eagle-owl,NA,Bubo philippensis,Philippine Eagle-owl
Philippine Fairy-bluebird,NA,Irena cyanogastra,Philippine Fairy-bluebird
Philippine Falconet,13.5,Microhierax erythrogenys,Philippine Falconet
Philippine Frogmouth,NA,Batrachostomus septimus,Philippine Frogmouth
Philippine Green-pigeon,15,Treron axillaris,Philippine Green-pigeon
Philippine Hanging-parrot,18,Loriculus philippensis,Philippine Hanging-parrot
Philippine Hawk-cuckoo,NA,Hierococcyx pectoralis,Philippine Hawk-cuckoo
Philippine Honey-buzzard,NA,Pernis steerei,Philippine Honey-buzzard
Philippine Leaf-warbler,NA,Phylloscopus olivaceus,Philippine Leaf-warbler
Philippine Leafbird,NA,Chloropsis flavipennis,Philippine Leafbird
Philippine Magpie-robin,NA,Copsychus mindanensis,Philippine Magpie-robin
Philippine Nightjar,0,Caprimulgus manillensis,Philippine Nightjar
Philippine Oriole,NA,Oriolus steerii,Philippine Oriole
Philippine Pied Fantail,NA,Rhipidura nigritorquis,Philippine Pied Fantail
Philippine Pitta,NA,Erythropitta erythrogaster,Philippine Pitta
Philippine Pygmy Woodpecker,NA,Picoides maculatus,Philippine Pygmy Woodpecker
Philippine Scrubfowl,0,Megapodius cumingii,Philippine Scrubfowl
Philippine Serpent-eagle,NA,Spilornis holospilus,Philippine Serpent-eagle
Philippine Shortwing,NA,Brachypteryx poliogyna,Philippine Shortwing
Philippine Spinetail,NA,Mearnsia picina,Philippine Spinetail
Philippine Swiftlet,NA,Aerodramus mearnsi,Philippine Swiftlet
Philippine Trogon,9,Harpactes ardens,Philippine Trogon
Phoenix Petrel,0,Pterodroma alba,Phoenix Petrel
Piapiac,16.5,Ptilostomus afer,Piapiac
Picazuro Pigeon,NA,Patagioenas picazuro,Picazuro Pigeon
Pictorella Mannikin,NA,Heteromunia pectoralis,Pictorella Mannikin
Picui Dove,NA,Columbina picui,Picui Dove
Pied Avocet,0,Recurvirostra avosetta,Pied Avocet
Pied Bronze-cuckoo,NA,Chalcites crassirostris,Pied Bronze-cuckoo
Pied Bushchat,NA,Saxicola caprata,Pied Bushchat
Pied Butcherbird,10.5,Cracticus nigrogularis,Pied Butcherbird
Pied Coucal,NA,Centropus ateralbus,Pied Coucal
Pied Crow,NA,Corvus albus,Pied Crow
Pied Cuckoo-dove,NA,Reinwardtoena browni,Pied Cuckoo-dove
Pied Cuckoo-shrike,NA,Coracina bicolor,Pied Cuckoo-shrike
Pied Currawong,NA,Strepera graculina,Pied Currawong
Pied Falconet,28,Microhierax melanoleucos,Pied Falconet
Pied Goshawk,20,Accipiter albogularis,Pied Goshawk
Pied Harrier,0,Circus melanoleucos,Pied Harrier
Pied Heron,4.5,Egretta picata,Pied Heron
Pied Honeyeater,2.9,Certhionyx variegatus,Pied Honeyeater
Pied Imperial-pigeon,11,Ducula bicolor,Pied Imperial-pigeon
Pied Kingfisher,NA,Ceryle rudis,Pied Kingfisher
Pied Lapwing,0,Hoploxypterus cayanus,Pied Lapwing
Pied Monarch,8,Arses kaupi,Pied Monarch
Pied Oystercatcher,NA,Haematopus longirostris,Pied Oystercatcher
Pied Shrike-babbler,NA,Pteruthius flaviscapis,Pied Shrike-babbler
Pied Thrush,NA,Geokichla wardii,Pied Thrush
Pied Triller,7.5,Lalage nigra,Pied Triller
Pied Water-tyrant,NA,Fluvicola pica,Pied Water-tyrant
Pied Wheatear,NA,Oenanthe pleschanka,Pied Wheatear
Pied-billed Grebe,0,Podilymbus podiceps,Pied-billed Grebe
Pied-crested Tit-tyrant,NA,Anairetes reguloides,Pied-crested Tit-tyrant
Pied-winged Swallow,3,Hirundo leucosoma,Pied-winged Swallow
Pigeon Guillemot,NA,Cepphus columba,Pigeon Guillemot
Pileated Finch,NA,Coryphospingus pileatus,Pileated Finch
Pileated Flycatcher,NA,Xenotriccus mexicanus,Pileated Flycatcher
Pileated Parrot,NA,Pionopsitta pileata,Pileated Parrot
Pileated Woodpecker,19,Hylatomus pileatus,Pileated Woodpecker
Pilotbird,NA,Pycnoptilus floccosus,Pilotbird
Pin-striped Tit-babbler,2.5999999999999996,Mixornis gularis,Pin-striped Tit-babbler
Pin-tailed Green-pigeon,4.5,Treron apicauda,Pin-tailed Green-pigeon
Pin-tailed Manakin,6,Ilicura militaris,Pin-tailed Manakin
Pin-tailed Parrotfinch,NA,Erythrura prasina,Pin-tailed Parrotfinch
Pin-tailed Sandgrouse,0,Pterocles alchata,Pin-tailed Sandgrouse
Pin-tailed Whydah,NA,Vidua macroura,Pin-tailed Whydah
Pincoya Storm-petrel,NA,Oceanites pincoyae,Pincoya Storm-petrel
Pine Bunting,0,Emberiza leucocephalos,Pine Bunting
Pine Flycatcher,NA,Empidonax affinis,Pine Flycatcher
Pine Grosbeak,5,Pinicola enucleator,Pine Grosbeak
Pine Siskin,8.5,Spinus pinus,Pine Siskin
Pine Warbler,20.55,Setophaga pinus,Pine Warbler
Pink Pigeon,11.5,Nesoenas mayeri,Pink Pigeon
Pink Robin,4.45,Petroica rodinogaster,Pink Robin
Pink-backed Pelican,NA,Pelecanus rufescens,Pink-backed Pelican
Pink-bellied Imperial-pigeon,NA,Ducula poliocephala,Pink-bellied Imperial-pigeon
Pink-billed Lark,0,Spizocorys conirostris,Pink-billed Lark
Pink-billed Parrotfinch,9.5,Erythrura kleinschmidti,Pink-billed Parrotfinch
Pink-breasted Flowerpecker,NA,Dicaeum keiense,Pink-breasted Flowerpecker
Pink-breasted Lark,0,Calendulauda poecilosterna,Pink-breasted Lark
Pink-browed Rosefinch,NA,Carpodacus rodochroa,Pink-browed Rosefinch
Pink-eared Duck,NA,Malacorhynchus membranaceus,Pink-eared Duck
Pink-footed Goose,0,Anser brachyrhynchus,Pink-footed Goose
Pink-footed Puffback,10.5,Dryoscopus angolensis,Pink-footed Puffback
Pink-footed Shearwater,NA,Ardenna creatopus,Pink-footed Shearwater
Pink-headed Duck,0,Rhodonessa caryophyllacea,Pink-headed Duck
Pink-headed Fruit-dove,8,Ptilinopus porphyreus,Pink-headed Fruit-dove
Pink-headed Imperial-pigeon,20,Ducula rosacea,Pink-headed Imperial-pigeon
Pink-headed Warbler,NA,Cardellina versicolor,Pink-headed Warbler
Pink-legged Graveteiro,35,Acrobatornis fonsecai,Pink-legged Graveteiro
Pink-necked Green-pigeon,6,Treron vernans,Pink-necked Green-pigeon
Pink-rumped Rosefinch,NA,Carpodacus waltoni,Pink-rumped Rosefinch
Pink-spotted Fruit-dove,4.5,Ptilinopus perlatus,Pink-spotted Fruit-dove
Pink-throated Becard,17.25,Pachyramphus minor,Pink-throated Becard
Pink-throated Brilliant,NA,Heliodoxa gularis,Pink-throated Brilliant
Pink-throated Twinspot,NA,Hypargos margaritatus,Pink-throated Twinspot
Pinnated Bittern,0.5,Botaurus pinnatus,Pinnated Bittern
Pinon's Imperial-pigeon,20,Ducula pinon,Pinon's Imperial-pigeon
Pintail Snipe,NA,Gallinago stenura,Pintail Snipe
Pinto's Spinetail,3.5,Synallaxis infuscata,Pinto's Spinetail
Pinyon Jay,18.5,Gymnorhinus cyanocephalus,Pinyon Jay
Piping Bellbird,NA,Ornorectes cristatus,Piping Bellbird
Piping Crow,NA,Corvus typicus,Piping Crow
Piping Plover,0,Charadrius melodus,Piping Plover
Pipipi,6.300000000000001,Mohoua novaeseelandiae,Pipipi
Piratic Flycatcher,9.5,Legatus leucophaius,Piratic Flycatcher
Pirre Bush-tanager,NA,Chlorospingus inornatus,Pirre Bush-tanager
Pirre Hummingbird,NA,Goethalsia bella,Pirre Hummingbird
Pirre Warbler,NA,Basileuterus ignotus,Pirre Warbler
Pitcairn Reed-warbler,6.5,Acrocephalus vaughani,Pitcairn Reed-warbler
Pitt Shag,NA,Phalacrocorax featherstoni,Pitt Shag
Pitta-like Ground-roller,0,Atelornis pittoides,Pitta-like Ground-roller
Piura Chat-tyrant,NA,Ochthoeca piurae,Piura Chat-tyrant
Piura Hemispingus,NA,Sphenopsis piurae,Piura Hemispingus
Plain Antvireo,1.85,Dysithamnus mentalis,Plain Antvireo
Plain Chachalaca,5.9,Ortalis vetula,Plain Chachalaca
Plain Flowerpecker,NA,Dicaeum minullum,Plain Flowerpecker
Plain Gerygone,NA,Gerygone inornata,Plain Gerygone
Plain Greenbul,NA,Eurillas curvirostris,Plain Greenbul
Plain Honeyeater,NA,Pycnopygius ixoides,Plain Honeyeater
Plain Laughingthrush,NA,Garrulax davidi,Plain Laughingthrush
Plain Leaf-warbler,NA,Phylloscopus neglectus,Plain Leaf-warbler
Plain Mountain-finch,1,Leucosticte nemoricola,Plain Mountain-finch
Plain Nightjar,0,Caprimulgus inornatus,Plain Nightjar
Plain Parakeet,NA,Brotogeris tirica,Plain Parakeet
Plain Pigeon,16.5,Patagioenas inornata,Plain Pigeon
Plain Prinia,NA,Prinia inornata,Plain Prinia
Plain Softtail,NA,Thripophaga fusciceps,Plain Softtail
Plain Sunbird,5.25,Anthreptes simplex,Plain Sunbird
Plain Swift,NA,Apus unicolor,Plain Swift
Plain Thornbird,13.5,Phacellodomus inornatus,Plain Thornbird
Plain Tyrannulet,NA,Inezia inornata,Plain Tyrannulet
Plain Wren,1.9,Cantorchilus modestus,Plain Wren
Plain Xenops,8,Xenops genibarbis,Plain Xenops
Plain-backed Antpitta,0,Grallaria haplonota,Plain-backed Antpitta
Plain-backed Kingfisher,NA,Actenoides regalis,Plain-backed Kingfisher
Plain-backed Pipit,0,Anthus leucophrys,Plain-backed Pipit
Plain-backed Snowfinch,NA,Pyrgilauda blanfordi,Plain-backed Snowfinch
Plain-backed Sparrow,NA,Passer flaveolus,Plain-backed Sparrow
Plain-backed Sunbird,7.5,Anthreptes reichenowi,Plain-backed Sunbird
Plain-bellied Emerald,NA,Amazilia leucogaster,Plain-bellied Emerald
Plain-breasted Ground-dove,4.5,Columbina minuta,Plain-breasted Ground-dove
Plain-breasted Piculet,NA,Picumnus castelnau,Plain-breasted Piculet
Plain-brown Woodcreeper,6,Dendrocincla fuliginosa,Plain-brown Woodcreeper
Plain-capped Ground-tyrant,NA,Muscisaxicola alpinus,Plain-capped Ground-tyrant
Plain-capped Starthroat,NA,Heliomaster constantii,Plain-capped Starthroat
Plain-colored Seedeater,NA,Catamenia inornata,Plain-colored Seedeater
Plain-colored Tanager,16.25,Tangara inornata,Plain-colored Tanager
Plain-crested Elaenia,1.3,Elaenia cristata,Plain-crested Elaenia
Plain-crowned Jay,NA,Garrulus bispecularis,Plain-crowned Jay
Plain-crowned Spinetail,2,Synallaxis gujanensis,Plain-crowned Spinetail
Plain-flanked Rail,0.2,Rallus wetmorei,Plain-flanked Rail
Plain-mantled Tit-spinetail,NA,Leptasthenura aegithaloides,Plain-mantled Tit-spinetail
Plain-pouched Hornbill,28.5,Rhyticeros subruficollis,Plain-pouched Hornbill
Plain-tailed Warbling-finch,NA,Microspingus alticola,Plain-tailed Warbling-finch
Plain-tailed Wren,NA,Pheugopedius euophrys,Plain-tailed Wren
Plain-throated Antwren,0.65,Isleria hauxwelli,Plain-throated Antwren
Plain-winged Antshrike,NA,Thamnophilus schistaceus,Plain-winged Antshrike
Plain-winged Antwren,NA,Myrmotherula behni,Plain-winged Antwren
Plain-winged Woodcreeper,2.25,Dendrocincla turdina,Plain-winged Woodcreeper
Plains-wanderer,0.015,Pedionomus torquatus,Plains-wanderer
Plaintive Cuckoo,NA,Cacomantis merulinus,Plaintive Cuckoo
Planalto Hermit,NA,Phaethornis pretrei,Planalto Hermit
Planalto Slaty Antshrike,1.5,Thamnophilus pelzelni,Planalto Slaty Antshrike
Planalto Tapaculo,NA,Scytalopus pachecoi,Planalto Tapaculo
Planalto Tyrannulet,10.5,Phyllomyias fasciatus,Planalto Tyrannulet
Planalto Woodcreeper,10,Dendrocolaptes platyrostris,Planalto Woodcreeper
Plate-billed Mountain-toucan,21,Andigena laminirostris,Plate-billed Mountain-toucan
Pleske's Grasshopper-warbler,NA,Locustella pleskei,Pleske's Grasshopper-warbler
Plum-crowned Parrot,NA,Pionus tumultuosus,Plum-crowned Parrot
Plum-faced Lorikeet,NA,Oreopsittacus arfaki,Plum-faced Lorikeet
Plum-headed Finch,NA,Neochmia modesta,Plum-headed Finch
Plum-headed Parakeet,NA,Psittacula cyanocephala,Plum-headed Parakeet
Plum-throated Cotinga,NA,Cotinga maynana,Plum-throated Cotinga
Plumbeous Antbird,1.21,Myrmelastes hyperythrus,Plumbeous Antbird
Plumbeous Antvireo,0.44999999999999996,Dysithamnus plumbeus,Plumbeous Antvireo
Plumbeous Black-tyrant,3.5,Knipolegus cabanisi,Plumbeous Black-tyrant
Plumbeous Euphonia,NA,Euphonia plumbea,Plumbeous Euphonia
Plumbeous Forest-falcon,NA,Micrastur plumbeus,Plumbeous Forest-falcon
Plumbeous Hawk,NA,Cryptoleucopteryx plumbea,Plumbeous Hawk
Plumbeous Ibis,18,Theristicus caerulescens,Plumbeous Ibis
Plumbeous Kite,31,Ictinia plumbea,Plumbeous Kite
Plumbeous Pigeon,NA,Patagioenas plumbea,Plumbeous Pigeon
Plumbeous Rail,0,Pardirallus sanguinolentus,Plumbeous Rail
Plumbeous Seedeater,NA,Sporophila plumbea,Plumbeous Seedeater
Plumbeous Sierra-finch,NA,Geospizopsis unicolor,Plumbeous Sierra-finch
Plumbeous Vireo,NA,Vireo plumbeus,Plumbeous Vireo
Plumbeous Warbler,NA,Setophaga plumbea,Plumbeous Warbler
Plumbeous Water-redstart,NA,Phoenicurus fuliginosus,Plumbeous Water-redstart
Plumbeous-backed Thrush,4.5,Turdus reevei,Plumbeous-backed Thrush
Plumbeous-crowned Tyrannulet,NA,Phyllomyias plumbeiceps,Plumbeous-crowned Tyrannulet
Plumed Egret,11.5,Ardea plumifera,Plumed Egret
Plumed Guineafowl,0,Guttera plumifera,Plumed Guineafowl
Plumed Whistling-duck,0,Dendrocygna eytoni,Plumed Whistling-duck
Plush-crested Jay,7.25,Cyanocorax chrysops,Plush-crested Jay
Plushcap,NA,Catamblyrhynchus diadema,Plushcap
Pohnpei Cicadabird,NA,Edolisoma insperatum,Pohnpei Cicadabird
Pohnpei Fantail,NA,Rhipidura kubaryi,Pohnpei Fantail
Pohnpei Flycatcher,NA,Myiagra pluto,Pohnpei Flycatcher
Pohnpei Fruit-dove,NA,Ptilinopus ponapensis,Pohnpei Fruit-dove
Pohnpei Kingfisher,6.449999999999999,Todiramphus reichenbachii,Pohnpei Kingfisher
Pohnpei Lorikeet,NA,Trichoglossus rubiginosus,Pohnpei Lorikeet
Pohnpei Starling,NA,Aplonis pelzelni,Pohnpei Starling
Pohnpei White-eye,NA,Zosterops ponapensis,Pohnpei White-eye
Pollen's Vanga,7.5,Xenopirostris polleni,Pollen's Vanga
Polynesian Ground-dove,NA,Alopecoenas erythropterus,Polynesian Ground-dove
Polynesian Imperial-pigeon,NA,Ducula aurorae,Polynesian Imperial-pigeon
Polynesian Starling,NA,Aplonis tabuensis,Polynesian Starling
Polynesian Storm-petrel,NA,Nesofregetta fuliginosa,Polynesian Storm-petrel
Polynesian Swiftlet,NA,Aerodramus leucophaeus,Polynesian Swiftlet
Polynesian Triller,NA,Lalage maculosa,Polynesian Triller
Polynesian Wattled Honeyeater,8.5,Foulehaio carunculatus,Polynesian Wattled Honeyeater
Pomarine Jaeger,0,Stercorarius pomarinus,Pomarine Jaeger
Pompadour Cotinga,27,Xipholena punicea,Pompadour Cotinga
Poo-uli,17.25,Melamprosops phaeosoma,Poo-uli
Porculla Hermit,1.9500000000000002,Phaethornis porcullae,Porculla Hermit
Powerful Owl,NA,Ninox strenua,Powerful Owl
Powerful Woodpecker,10.5,Campephilus pollens,Powerful Woodpecker
Prairie Falcon,65.5,Falco mexicanus,Prairie Falcon
Prairie Warbler,2.285,Setophaga discolor,Prairie Warbler
Predicted Antwren,NA,Herpsilochmus praedictus,Predicted Antwren
Preuss's Swallow,NA,Petrochelidon preussi,Preuss's Swallow
Preuss's Weaver,16.5,Ploceus preussi,Preuss's Weaver
Prevost's Ground-sparrow,1.4949999999999999,Melozone biarcuata,Prevost's Ground-sparrow
Prigogine's Double-collared Sunbird,NA,Cinnyris prigoginei,Prigogine's Double-collared Sunbird
Prigogine's Greenbul,NA,Chlorocichla prigoginei,Prigogine's Greenbul
Prigogine's Nightjar,NA,Caprimulgus prigoginei,Prigogine's Nightjar
Princess Parrot,NA,Polytelis alexandrae,Princess Parrot
Principe Golden Weaver,NA,Ploceus princeps,Principe Golden Weaver
Principe Kingfisher,NA,Corythornis nais,Principe Kingfisher
Principe Seedeater,NA,Crithagra rufobrunnea,Principe Seedeater
Principe Speirops,NA,Zosterops leucophaeus,Principe Speirops
Principe Starling,15,Lamprotornis ornatus,Principe Starling
Principe Sunbird,4.5,Anabathmis hartlaubii,Principe Sunbird
Principe Thrush,NA,Turdus xanthorhynchus,Principe Thrush
Principe White-eye,NA,Zosterops ficedulinus,Principe White-eye
Pringle's Puffback,2.2,Dryoscopus pringlii,Pringle's Puffback
Pririt Batis,2.5,Batis pririt,Pririt Batis
Prong-billed Barbet,12.25,Semnornis frantzii,Prong-billed Barbet
Protea Canary,NA,Crithagra leucoptera,Protea Canary
Prothonotary Warbler,4.25,Protonotaria citrea,Prothonotary Warbler
Providence Petrel,NA,Pterodroma solandri,Providence Petrel
Przevalski's Partridge,NA,Alectoris magna,Przevalski's Partridge
Przevalski's Rosefinch,0.125,Urocynchramus pylzowi,Przevalski's Rosefinch
Przewalski’s Nuthatch,NA,Sitta przewalskii,Przewalski’s Nuthatch
Puaiohi,7.925000000000001,Myadestes palmeri,Puaiohi
Puerto Rican Amazon,NA,Amazona vittata,Puerto Rican Amazon
Puerto Rican Bullfinch,0,Pyrrhulagra portoricensis,Puerto Rican Bullfinch
Puerto Rican Emerald,NA,Chlorostilbon maugaeus,Puerto Rican Emerald
Puerto Rican Euphonia,NA,Euphonia sclateri,Puerto Rican Euphonia
Puerto Rican Flycatcher,NA,Myiarchus antillarum,Puerto Rican Flycatcher
Puerto Rican Lizard-cuckoo,NA,Coccyzus vieilloti,Puerto Rican Lizard-cuckoo
Puerto Rican Mango,4.5,Anthracothorax aurulentus,Puerto Rican Mango
Puerto Rican Nightjar,0,Antrostomus noctitherus,Puerto Rican Nightjar
Puerto Rican Oriole,6,Icterus portoricensis,Puerto Rican Oriole
Puerto Rican Screech-owl,NA,Megascops nudipes,Puerto Rican Screech-owl
Puerto Rican Spindalis,NA,Spindalis portoricensis,Puerto Rican Spindalis
Puerto Rican Tanager,7,Nesospingus speculiferus,Puerto Rican Tanager
Puerto Rican Tody,0.475,Todus mexicanus,Puerto Rican Tody
Puerto Rican Vireo,NA,Vireo latimeri,Puerto Rican Vireo
Puerto Rican Woodpecker,4,Melanerpes portoricensis,Puerto Rican Woodpecker
Puff-backed Bulbul,0.8999999999999999,Euptilotus eutilotus,Puff-backed Bulbul
Puff-backed Honeyeater,0.8999999999999999,Meliphaga aruensis,Puff-backed Honeyeater
Puff-throated Babbler,0,Pellorneum ruficeps,Puff-throated Babbler
Puff-throated Bulbul,8,Alophoixus pallidus,Puff-throated Bulbul
Pulitzer's Longbill,NA,Macrosphenus pulitzeri,Pulitzer's Longbill
Puna Flamingo,0,Phoenicoparrus jamesi,Puna Flamingo
Puna Ground-tyrant,NA,Muscisaxicola juninensis,Puna Ground-tyrant
Puna Ibis,1,Plegadis ridgwayi,Puna Ibis
Puna Miner,NA,Geositta punensis,Puna Miner
Puna Plover,NA,Charadrius alticola,Puna Plover
Puna Rhea,NA,Rhea tarapacensis,Puna Rhea
Puna Snipe,NA,Gallinago andina,Puna Snipe
Puna Tapaculo,3.75,Scytalopus simonsi,Puna Tapaculo
Puna Teal,0,Spatula puna,Puna Teal
Puna Thistletail,80,Asthenes helleri,Puna Thistletail
Puna Tinamou,0,Tinamotis pentlandii,Puna Tinamou
Puna Yellow-finch,2.25,Sicalis lutea,Puna Yellow-finch
Purple Cochoa,5,Cochoa purpurea,Purple Cochoa
Purple Finch,9.075,Haemorhous purpureus,Purple Finch
Purple Gallinule,0.45999999999999996,Porphyrio martinicus,Purple Gallinule
Purple Grenadier,NA,Granatina ianthinogaster,Purple Grenadier
Purple Heron,13,Ardea purpurea,Purple Heron
Purple Honeycreeper,3.25,Cyanerpes caeruleus,Purple Honeycreeper
Purple Indigobird,NA,Vidua purpurascens,Purple Indigobird
Purple Martin,9.9,Progne subis,Purple Martin
Purple Needletail,NA,Hirundapus celebensis,Purple Needletail
Purple Quail-dove,NA,Geotrygon purpurata,Purple Quail-dove
Purple Roller,NA,Coracias naevius,Purple Roller
Purple Sandpiper,0,Calidris maritima,Purple Sandpiper
Purple Starling,NA,Lamprotornis purpureus,Purple Starling
Purple Sunbird,8.5,Cinnyris asiaticus,Purple Sunbird
Purple Swamphen,0.5,Porphyrio porphyrio,Purple Swamphen
Purple-backed Starling,8,Agropsar sturninus,Purple-backed Starling
Purple-backed Sunbeam,NA,Aglaeactis aliciae,Purple-backed Sunbeam
Purple-backed Thornbill,NA,Ramphomicron microrhynchum,Purple-backed Thornbill
Purple-banded Sunbird,6,Cinnyris bifasciatus,Purple-banded Sunbird
Purple-bearded Bee-eater,NA,Meropogon forsteni,Purple-bearded Bee-eater
Purple-bellied Lory,NA,Lorius hypoinochrous,Purple-bellied Lory
Purple-bibbed Whitetip,4,Urosticte benjamini,Purple-bibbed Whitetip
Purple-breasted Cotinga,NA,Cotinga cotinga,Purple-breasted Cotinga
Purple-breasted Sunbird,14,Nectarinia purpureiventris,Purple-breasted Sunbird
Purple-chested Hummingbird,4,Amazilia rosenbergi,Purple-chested Hummingbird
Purple-collared Woodstar,4,Myrtis fanny,Purple-collared Woodstar
Purple-crested Turaco,7.5,Gallirex porphyreolophus,Purple-crested Turaco
Purple-crowned Fairy,12,Heliothryx barroti,Purple-crowned Fairy
Purple-crowned Fairy-wren,1.7,Malurus coronatus,Purple-crowned Fairy-wren
Purple-crowned Lorikeet,NA,Glossopsitta porphyrocephala,Purple-crowned Lorikeet
Purple-gaped Honeyeater,2,Lichenostomus cratitius,Purple-gaped Honeyeater
Purple-headed Starling,NA,Hylopsar purpureiceps,Purple-headed Starling
Purple-naped Lory,NA,Lorius domicella,Purple-naped Lory
Purple-naped Spiderhunter,9,Arachnothera hypogrammica,Purple-naped Spiderhunter
Purple-rumped Sunbird,9.5,Leptocoma zeylonica,Purple-rumped Sunbird
Purple-tailed Imperial-pigeon,NA,Ducula rufigaster,Purple-tailed Imperial-pigeon
Purple-throated Carib,5.5,Eulampis jugularis,Purple-throated Carib
Purple-throated Cotinga,NA,Porphyrolaema porphyrolaema,Purple-throated Cotinga
Purple-throated Cuckoo-shrike,21,Campephaga quiscalina,Purple-throated Cuckoo-shrike
Purple-throated Euphonia,NA,Euphonia chlorotica,Purple-throated Euphonia
Purple-throated Fruitcrow,22.5,Querula purpurata,Purple-throated Fruitcrow
Purple-throated Mountain-gem,2.725,Lampornis calolaemus,Purple-throated Mountain-gem
Purple-throated Sunangel,NA,Heliangelus viola,Purple-throated Sunangel
Purple-throated Sunbird,6.5,Leptocoma sperata,Purple-throated Sunbird
Purple-throated Woodstar,14,Calliphlox mitchellii,Purple-throated Woodstar
Purple-winged Ground-dove,NA,Claravis geoffroyi,Purple-winged Ground-dove
Purple-winged Roller,15,Coracias temminckii,Purple-winged Roller
Purplish Jacamar,NA,Galbula chalcothorax,Purplish Jacamar
Purplish Jay,5.6,Cyanocorax cyanomelas,Purplish Jay
Purplish-backed Jay,7.8,Cyanocorax beecheii,Purplish-backed Jay
Purplish-backed Quail-dove,2.25,Zentrygon lawrencii,Purplish-backed Quail-dove
